# Unified Canadian Aboriginal Syllabics 1400 - 167F
1538	nfdc-canadiansyllabicswestcreeywoo	CANADIAN SYLLABICS WEST-CREE YWOO
1539	nfdc-canadiansyllabicsywa	CANADIAN SYLLABICS YWA
153A	nfdc-canadiansyllabicswestcreeywa	CANADIAN SYLLABICS WEST-CREE YWA
153B	nfdc-canadiansyllabicsywaa	CANADIAN SYLLABICS YWAA
153C	nfdc-canadiansyllabicswestcreeywaa	CANADIAN SYLLABICS WEST-CREE YWAA
153D	nfdc-canadiansyllabicsnaskapiywaa	CANADIAN SYLLABICS NASKAPI YWAA
153E	nfdc-canadiansyllabicsy	CANADIAN SYLLABICS Y
153F	nfdc-canadiansyllabicsbiblecreey	CANADIAN SYLLABICS BIBLE-CREE Y
1540	nfdc-canadiansyllabicswestcreey	CANADIAN SYLLABICS WEST-CREE Y
1541	nfdc-canadiansyllabicssayisiyi	CANADIAN SYLLABICS SAYISI YI
1542	nfdc-canadiansyllabicsre	CANADIAN SYLLABICS RE
1543	nfdc-canadiansyllabicsrcreere	CANADIAN SYLLABICS R-CREE RE
1544	nfdc-canadiansyllabicswestcreele	CANADIAN SYLLABICS WEST-CREE LE
1545	nfdc-canadiansyllabicsraai	CANADIAN SYLLABICS RAAI
1546	nfdc-canadiansyllabicsri	CANADIAN SYLLABICS RI
1547	nfdc-canadiansyllabicsrii	CANADIAN SYLLABICS RII
1548	nfdc-canadiansyllabicsro	CANADIAN SYLLABICS RO
1549	nfdc-canadiansyllabicsroo	CANADIAN SYLLABICS ROO
