# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A7D6	cjk-cjkunifiedideograph2a7d6	CJK UNIFIED IDEOGRAPH-2A7D6
2A7D7	cjk-cjkunifiedideograph2a7d7	CJK UNIFIED IDEOGRAPH-2A7D7
2A7D8	cjk-cjkunifiedideograph2a7d8	CJK UNIFIED IDEOGRAPH-2A7D8
2A7D9	cjk-cjkunifiedideograph2a7d9	CJK UNIFIED IDEOGRAPH-2A7D9
2A7DA	cjk-cjkunifiedideograph2a7da	CJK UNIFIED IDEOGRAPH-2A7DA
2A7DB	cjk-cjkunifiedideograph2a7db	CJK UNIFIED IDEOGRAPH-2A7DB
2A7DC	cjk-cjkunifiedideograph2a7dc	CJK UNIFIED IDEOGRAPH-2A7DC
2A7DD	cjk-cjkunifiedideograph2a7dd	CJK UNIFIED IDEOGRAPH-2A7DD
2A7DE	cjk-cjkunifiedideograph2a7de	CJK UNIFIED IDEOGRAPH-2A7DE
2A7DF	cjk-cjkunifiedideograph2a7df	CJK UNIFIED IDEOGRAPH-2A7DF
2A7E0	cjk-cjkunifiedideograph2a7e0	CJK UNIFIED IDEOGRAPH-2A7E0
2A7E1	cjk-cjkunifiedideograph2a7e1	CJK UNIFIED IDEOGRAPH-2A7E1
2A7E2	cjk-cjkunifiedideograph2a7e2	CJK UNIFIED IDEOGRAPH-2A7E2
2A7E3	cjk-cjkunifiedideograph2a7e3	CJK UNIFIED IDEOGRAPH-2A7E3
2A7E4	cjk-cjkunifiedideograph2a7e4	CJK UNIFIED IDEOGRAPH-2A7E4
2A7E5	cjk-cjkunifiedideograph2a7e5	CJK UNIFIED IDEOGRAPH-2A7E5
2A7E6	cjk-cjkunifiedideograph2a7e6	CJK UNIFIED IDEOGRAPH-2A7E6
2A7E7	cjk-cjkunifiedideograph2a7e7	CJK UNIFIED IDEOGRAPH-2A7E7
2A7E8	cjk-cjkunifiedideograph2a7e8	CJK UNIFIED IDEOGRAPH-2A7E8
2A7E9	cjk-cjkunifiedideograph2a7e9	CJK UNIFIED IDEOGRAPH-2A7E9
2A7EA	cjk-cjkunifiedideograph2a7ea	CJK UNIFIED IDEOGRAPH-2A7EA
2A7EB	cjk-cjkunifiedideograph2a7eb	CJK UNIFIED IDEOGRAPH-2A7EB
2A7EC	cjk-cjkunifiedideograph2a7ec	CJK UNIFIED IDEOGRAPH-2A7EC
2A7ED	cjk-cjkunifiedideograph2a7ed	CJK UNIFIED IDEOGRAPH-2A7ED
