# Mathematical Alphanumeric Symbols 1D400 - 1D7FF
1D498	mthm-mathematicalbolditalicsmallw	MATHEMATICAL BOLD ITALIC SMALL W
1D499	mthm-mathematicalbolditalicsmallx	MATHEMATICAL BOLD ITALIC SMALL X
1D49A	mthm-mathematicalbolditalicsmally	MATHEMATICAL BOLD ITALIC SMALL Y
1D49B	mthm-mathematicalbolditalicsmallz	MATHEMATICAL BOLD ITALIC SMALL Z
1D49C	mthm-mathematicalscriptcapitala	MATHEMATICAL SCRIPT CAPITAL A
1D49E	mthm-mathematicalscriptcapitalc	MATHEMATICAL SCRIPT CAPITAL C
1D49F	mthm-mathematicalscriptcapitald	MATHEMATICAL SCRIPT CAPITAL D
1D4A2	mthm-mathematicalscriptcapitalg	MATHEMATICAL SCRIPT CAPITAL G
1D4A5	mthm-mathematicalscriptcapitalj	MATHEMATICAL SCRIPT CAPITAL J
1D4A6	mthm-mathematicalscriptcapitalk	MATHEMATICAL SCRIPT CAPITAL K
1D4A9	mthm-mathematicalscriptcapitaln	MATHEMATICAL SCRIPT CAPITAL N
1D4AA	mthm-mathematicalscriptcapitalo	MATHEMATICAL SCRIPT CAPITAL O
1D4AB	mthm-mathematicalscriptcapitalp	MATHEMATICAL SCRIPT CAPITAL P
1D4AC	mthm-mathematicalscriptcapitalq	MATHEMATICAL SCRIPT CAPITAL Q
1D4AE	mthm-mathematicalscriptcapitals	MATHEMATICAL SCRIPT CAPITAL S
1D4AF	mthm-mathematicalscriptcapitalt	MATHEMATICAL SCRIPT CAPITAL T
1D4B0	mthm-mathematicalscriptcapitalu	MATHEMATICAL SCRIPT CAPITAL U
1D4B1	mthm-mathematicalscriptcapitalv	MATHEMATICAL SCRIPT CAPITAL V
1D4B2	mthm-mathematicalscriptcapitalw	MATHEMATICAL SCRIPT CAPITAL W
1D4B3	mthm-mathematicalscriptcapitalx	MATHEMATICAL SCRIPT CAPITAL X
1D4B4	mthm-mathematicalscriptcapitaly	MATHEMATICAL SCRIPT CAPITAL Y
1D4B5	mthm-mathematicalscriptcapitalz	MATHEMATICAL SCRIPT CAPITAL Z
1D4B6	mthm-mathematicalscriptsmalla	MATHEMATICAL SCRIPT SMALL A
1D4B7	mthm-mathematicalscriptsmallb	MATHEMATICAL SCRIPT SMALL B
