# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F8F9	cjk-cjkcompatibilityideograph2f8f9	CJK COMPATIBILITY IDEOGRAPH-2F8F9
2F8FA	cjk-cjkcompatibilityideograph2f8fa	CJK COMPATIBILITY IDEOGRAPH-2F8FA
2F8FB	cjk-cjkcompatibilityideograph2f8fb	CJK COMPATIBILITY IDEOGRAPH-2F8FB
2F8FC	cjk-cjkcompatibilityideograph2f8fc	CJK COMPATIBILITY IDEOGRAPH-2F8FC
2F8FD	cjk-cjkcompatibilityideograph2f8fd	CJK COMPATIBILITY IDEOGRAPH-2F8FD
2F8FE	cjk-cjkcompatibilityideograph2f8fe	CJK COMPATIBILITY IDEOGRAPH-2F8FE
2F8FF	cjk-cjkcompatibilityideograph2f8ff	CJK COMPATIBILITY IDEOGRAPH-2F8FF
2F900	cjk-cjkcompatibilityideograph2f900	CJK COMPATIBILITY IDEOGRAPH-2F900
2F901	cjk-cjkcompatibilityideograph2f901	CJK COMPATIBILITY IDEOGRAPH-2F901
2F902	cjk-cjkcompatibilityideograph2f902	CJK COMPATIBILITY IDEOGRAPH-2F902
2F903	cjk-cjkcompatibilityideograph2f903	CJK COMPATIBILITY IDEOGRAPH-2F903
2F904	cjk-cjkcompatibilityideograph2f904	CJK COMPATIBILITY IDEOGRAPH-2F904
